Indice di spopolamento,Indice di occupazione,Indice disoccupazione,Tipo di località_Altri comuni non altrimenti classificati,Tipo di località_Capoluogo senza specifici interessi turistici,Tipo di località_Città d'Arte,Tipo di località_Località collinari,Tipo di località_Località lacuali,Tipo di località_Località marine,Tipo di località_Località montane,Tipo di località_Località religiose,Tipo di località_Località termali,PC_Economica,PC_Metropoli,PC_Diversificata,PC_Qualita_Alta,PC_Business,PC_Balneare,PC_Montano,PC_Costiero_Minore,PC_Balneare_Massa,PC_Religioso_Culturale,PC_Lusso_Termale,PC_Enogastronomico,PC_Lacustre_Transito,Macroarea_Isole,Macroarea_Nord,Macroarea_Sud,Descrizione_Tipologia_di_Immobile_Abitazioni_di_tipo_economico,Descrizione_Tipologia_di_Immobile_Abitazioni_signorili,Descrizione_Tipologia_di_Immobile_Abitazioni_tipiche_dei_luoghi,Descrizione_Tipologia_di_Immobile_Ville_e_Villini,Media Costo alla Vendita
-60.2,46.4,7.14,True,False,False,False,False,False,False,False,False,-0.8454544967479922,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,True,False,False,False,False,False,842.5
-59.6,38.6,5.56,True,False,False,False,False,False,False,False,False,-0.8460158882262562,-1.7570289414879383,0.6876669849729655,-0.8720562761580998,-0.3284829508399424,0.3641853494029011,-0.1415273937624754,-0.0125241307750898,-0.3144393733592116,-0.0746914928754382,0.1060868333565225,0.0585371278086452,0.0154516608239998,False,True,False,False,False,False,False,775.0
-58.1,45.2,6.59,True,False,False,False,False,False,False,False,False,-0.7037012782366864,-1.8056091960974852,0.7277019656898197,-0.9000180562223026,-0.3835463561511654,0.4185450224355588,-0.2293281798929435,0.0820192706303058,-0.3910637881238466,-0.1659067169754018,0.0844260449454339,0.178309904274105,-0.0631768443516078,False,True,False,False,False,False,False,880.0
-56.4,42.0,11.76,True,False,False,False,False,False,False,False,False,-0.7950358244851758,-1.8921935579764173,0.7421137587479844,-0.9353600730202866,-0.4538481195983311,0.4636714295475748,-0.2697624919686711,0.0766661046570192,-0.4837188654637634,-0.2736897614320175,0.0956416080087547,0.1813356915995146,-0.0279180317660723,False,True,False,False,False,False,False,1025.0
-56.2,42.2,13.58,True,False,False,False,False,False,False,False,False,-0.8415014956397316,-1.8178944692955543,0.7334674233178706,-0.9383334284316336,-0.3560073998669738,0.4372398878795326,-0.2296526879741841,0.1282270738804514,-0.4681103732871561,-0.2448104539233425,0.0646007700615527,0.1797545152739359,-0.062740636929047,False,False,False,False,False,False,False,837.5
-56.1,39.3,13.91,False,False,False,True,False,False,False,False,False,-0.8292723604989036,-1.7507989519947602,0.716981578221581,-0.7496736576120833,-0.4648056735563486,0.4092413331834634,-0.2202081801616168,0.0304237752472057,-0.1303637210713694,0.1750676563694225,0.1109917313278792,0.3229726495317201,-0.1398138370644643,False,False,False,False,False,False,True,2250.0
-56.1,39.3,13.91,False,False,False,True,False,False,False,False,False,-0.8292723604989036,-1.7507989519947602,0.716981578221581,-0.7496736576120833,-0.4648056735563486,0.4092413331834634,-0.2202081801616168,0.0304237752472057,-0.1303637210713694,0.1750676563694225,0.1109917313278792,0.3229726495317201,-0.1398138370644643,False,False,False,True,False,False,False,1425.0
-56.0,29.6,20.93,False,False,False,True,False,False,False,False,False,-0.8836372652169053,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,True,True,False,False,False,415.0
-55.6,43.6,10.64,True,False,False,False,False,False,False,False,False,-0.8122589462350168,-1.9202192330348928,0.7596222119101277,-0.9365200192016568,-0.4590102240530304,0.4968791903742876,-0.2655124669208457,0.120188860830923,-0.512499942387833,-0.2935617680526158,0.0917432080090483,0.2199551646544743,-0.0396664629811222,False,False,False,False,False,False,False,800.0
-55.2,31.0,33.25,False,False,False,False,False,True,False,False,False,-0.8548516181099147,-1.5747728298563015,0.2577579736647474,0.0183722674434736,0.154712519805765,-0.2726726467726157,-0.1620243967665132,0.0397152915240311,-0.0536986266279794,-0.369396991392802,-0.2774048299149752,-0.1077960713030944,-0.0663810723390605,False,False,True,False,False,False,False,510.0
